target_index,source_binding_target_id,source_side,bound_raw_key,bound_candidate_scoring_id,admission_readiness,admission_status,field_pin_status,source_row_count,scalar_leaf_count,candidate_object_id,provenance_chain_complete,semantics_choice_available
30,5bec30988f4d36b652ddf948269a07983e0c6404e6c15d9e933572215f262eca,RAW,6000006::S07::A003,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,1,18,,NO,NO
31,251e59752a73f42d521ae5da001b14eaeda7e92ef257bc868ab6e0b7e7a349ac,RAW,6000006::S07::A005,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,48,,NO,NO
32,c11d36ef3645607c176ded26170363054f358939f71db3573948daf376e2f9b0,RAW,6000006::S07::A006,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,49,,NO,NO
33,f6cfdd27121bddda492095e0bd7db367c5eec9617376ed61e0e7678497e08c94,RAW,6000006::S07::A007,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,1,18,,NO,NO
34,3867e8b9548a5348a10b3fc912197c3a2adcd8fe9ff317ab1e92b1c89d5725d0,RAW,6000006::S08::A004,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,52,,NO,NO
35,2fac175331670bc0f3d285824f052681a92cc48ba3105777cdd87cbf9a3ac8d8,RAW,6000006::S08::A006,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,61,,NO,NO
36,033c375ce3404f36ecdc8d48dd3895268e3c79cacd252878b7349688459e98e5,RAW,6000006::S08::A008,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,1,18,,NO,NO
37,ff81a551a0974f38721cc25c053108263d19add746f95ff467559a8fe80530d7,RAW,6000006::S09::A001,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,1,18,,NO,NO
38,d14701686883cb0fc0046c1f3c876e8ec34c03ba0dd247087732429b312b42d4,RAW,6000006::S09::A002,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,45,,NO,NO
39,098ceeb23995dd702895027c4f70484db24d2961a8afd91dc0c732362588a450,RAW,6000006::S09::A004,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,48,,NO,NO
40,74691826b9c8d8061a9dbb859fad95dd288968cff4aafb67d83a30fc7dc3a515,RAW,6000006::S09::A005,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,1,18,,NO,NO
41,36c9a877f537461d63da1ffe0d7be9935e41c2bfcf8337f78bc9c66e6a200ba9,RAW,6000006::S09::A006,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,51,,NO,NO
42,d954f872d8bc9a2c3e4ec4138097014f7a314003e1d0f84f1fe5fc5d0ddf1202,RAW,6000006::S11::A001,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,1,18,,NO,NO
43,28cd6a68d17b1bef2ededfa496e36363e8c0b9146596415790a0cdeb4de8177e,RAW,6000006::S11::A003,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,49,,NO,NO
